Flight_No,Airline,Destination,Via,Departure_Time,Terminal_Gate,Expected_Pax
JL771,Japan Airlines,Tokyo,Direct,2024-01-06 10:00:00,T1-01,228
CA781,Air China,Beijing,Direct,2024-01-06 10:05:00,T1-18,236
CX101,Cathay Pacific,Hong Kong,Direct,2024-01-06 10:33:00,T1-20,232
NH880,ANA,Tokyo,Direct,2024-01-06 11:15:00,T1-23,299
KE601,Korean Air,Seoul,Direct,2024-01-06 11:25:00,T1-12,249
QF7,Qantas,Los Angeles,Direct,2024-01-06 12:00:00,T1-41,288
SQ213,Singapore Airlines,Singapore,Direct,2024-01-06 13:29:00,T1-05,303
QF1,Qantas,Singapore,Direct,2024-01-06 16:29:00,T1-44,320
UA839,United Airlines,Los Angeles,Direct,2024-01-06 20:58:00,T1-41,205
EK413,Emirates,Dubai,Direct,2024-01-06 21:14:00,T1-03,287
GA715,Garuda Indonesia,Bali,Direct,2024-01-07 07:30:00,T1-15,220
5J32,Cebu Pacific,Manila,Direct,2024-01-07 08:00:00,T1-29,384
SQ211,Singapore Airlines,Singapore,Direct,2024-01-07 08:05:00,T1-20,238
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-01-07 08:40:00,T1-51,344
TG476,Thai Airways,Bangkok,Direct,2024-01-07 09:05:00,T1-01,312
MU502,China Eastern,Shanghai,Direct,2024-01-07 09:20:00,T1-22,386
PR211,Philippine Airlines,Manila,Direct,2024-01-07 09:32:00,T1-07,379
JL771,Japan Airlines,Tokyo,Direct,2024-01-07 09:57:00,T1-47,302
CX101,Cathay Pacific,Hong Kong,Direct,2024-01-07 10:26:00,T1-50,340
NH880,ANA,Tokyo,Direct,2024-01-07 11:18:00,T1-46,290
KE601,Korean Air,Seoul,Direct,2024-01-07 11:34:00,T1-53,205
QF7,Qantas,Los Angeles,Direct,2024-01-07 11:59:00,T1-46,357
SQ213,Singapore Airlines,Singapore,Direct,2024-01-07 13:34:00,T1-50,154
CX103,Cathay Pacific,Hong Kong,Direct,2024-01-07 15:40:00,T1-02,218
QF1,Qantas,Singapore,Direct,2024-01-07 16:32:00,T1-13,206
QR007,Qatar Airways,Doha,Direct,2024-01-07 20:47:00,T1-04,361
UA839,United Airlines,Los Angeles,Direct,2024-01-07 21:01:00,T1-44,161
EK413,Emirates,Dubai,Direct,2024-01-07 21:12:00,T1-04,208
GA715,Garuda Indonesia,Bali,Direct,2024-01-08 07:32:00,T1-45,295
SQ211,Singapore Airlines,Singapore,Direct,2024-01-08 07:58:00,T1-50,304
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-01-08 08:48:00,T1-06,309
TG476,Thai Airways,Bangkok,Direct,2024-01-08 09:04:00,T1-41,184
MU502,China Eastern,Shanghai,Direct,2024-01-08 09:11:00,T1-42,153
PR211,Philippine Airlines,Manila,Direct,2024-01-08 09:28:00,T1-35,214
OZ602,Asiana Airlines,Seoul,Direct,2024-01-08 09:48:00,T1-45,178
JL771,Japan Airlines,Tokyo,Direct,2024-01-08 10:04:00,T1-19,258
CX101,Cathay Pacific,Hong Kong,Direct,2024-01-08 10:26:00,T1-44,183
KE601,Korean Air,Seoul,Direct,2024-01-08 11:35:00,T1-37,196
QF7,Qantas,Los Angeles,Direct,2024-01-08 12:00:00,T1-27,300
SQ213,Singapore Airlines,Singapore,Direct,2024-01-08 13:27:00,T1-41,171
CX103,Cathay Pacific,Hong Kong,Direct,2024-01-08 15:49:00,T1-06,161
QF1,Qantas,Singapore,Direct,2024-01-08 16:25:00,T1-46,176
QR007,Qatar Airways,Doha,Direct,2024-01-08 20:40:00,T1-39,368
EK413,Emirates,Dubai,Direct,2024-01-08 21:05:00,T1-18,388
GA715,Garuda Indonesia,Bali,Direct,2024-01-09 07:33:00,T1-50,246
TR13,Scoot,Singapore,Direct,2024-01-09 07:45:00,T1-25,248
5J32,Cebu Pacific,Manila,Direct,2024-01-09 08:04:00,T1-15,318
SQ211,Singapore Airlines,Singapore,Direct,2024-01-09 08:04:00,T1-23,338
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-01-09 08:44:00,T1-49,154
MU502,China Eastern,Shanghai,Direct,2024-01-09 09:13:00,T1-40,358
JL771,Japan Airlines,Tokyo,Direct,2024-01-09 09:59:00,T1-30,244
CA781,Air China,Beijing,Direct,2024-01-09 10:01:00,T1-12,367
CX101,Cathay Pacific,Hong Kong,Direct,2024-01-09 10:32:00,T1-55,154
NH880,ANA,Tokyo,Direct,2024-01-09 11:11:00,T1-42,347
KE601,Korean Air,Seoul,Direct,2024-01-09 11:33:00,T1-49,221
QF7,Qantas,Los Angeles,Direct,2024-01-09 12:00:00,T1-21,296
QF1,Qantas,Singapore,Direct,2024-01-09 16:29:00,T1-32,285
UA839,United Airlines,Los Angeles,Direct,2024-01-09 21:05:00,T1-38,169
EK413,Emirates,Dubai,Direct,2024-01-09 21:09:00,T1-13,217
GA715,Garuda Indonesia,Bali,Direct,2024-01-10 07:27:00,T1-07,321
SQ211,Singapore Airlines,Singapore,Direct,2024-01-10 08:05:00,T1-51,295
TG476,Thai Airways,Bangkok,Direct,2024-01-10 09:04:00,T1-53,306
PR211,Philippine Airlines,Manila,Direct,2024-01-10 09:35:00,T1-04,389
OZ602,Asiana Airlines,Seoul,Direct,2024-01-10 09:49:00,T1-14,321
JL771,Japan Airlines,Tokyo,Direct,2024-01-10 10:01:00,T1-47,272
CX101,Cathay Pacific,Hong Kong,Direct,2024-01-10 10:31:00,T1-08,156
KE601,Korean Air,Seoul,Direct,2024-01-10 11:25:00,T1-11,222
QF7,Qantas,Los Angeles,Direct,2024-01-10 11:52:00,T1-54,298
SQ213,Singapore Airlines,Singapore,Direct,2024-01-10 13:26:00,T1-45,198
CX103,Cathay Pacific,Hong Kong,Direct,2024-01-10 15:48:00,T1-13,167
QF1,Qantas,Singapore,Direct,2024-01-10 16:34:00,T1-47,183
QR007,Qatar Airways,Doha,Direct,2024-01-10 20:48:00,T1-21,186
EK413,Emirates,Dubai,Direct,2024-01-10 21:09:00,T1-20,269
GA715,Garuda Indonesia,Bali,Direct,2024-01-11 07:27:00,T1-38,272
TR13,Scoot,Singapore,Direct,2024-01-11 07:46:00,T1-35,195
SQ211,Singapore Airlines,Singapore,Direct,2024-01-11 07:58:00,T1-36,360
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-01-11 08:45:00,T1-06,383
TG476,Thai Airways,Bangkok,Direct,2024-01-11 09:02:00,T1-44,276
MU502,China Eastern,Shanghai,Direct,2024-01-11 09:14:00,T1-13,356
JL771,Japan Airlines,Tokyo,Direct,2024-01-11 09:59:00,T1-15,340
CA781,Air China,Beijing,Direct,2024-01-11 10:02:00,T1-42,150
CX101,Cathay Pacific,Hong Kong,Direct,2024-01-11 10:27:00,T1-53,294
NH880,ANA,Tokyo,Direct,2024-01-11 11:20:00,T1-48,289
KE601,Korean Air,Seoul,Direct,2024-01-11 11:31:00,T1-41,159
QF7,Qantas,Los Angeles,Direct,2024-01-11 11:57:00,T1-16,385
SQ213,Singapore Airlines,Singapore,Direct,2024-01-11 13:34:00,T1-35,264
QF1,Qantas,Singapore,Direct,2024-01-11 16:34:00,T1-05,167
UA839,United Airlines,Los Angeles,Direct,2024-01-11 20:57:00,T1-36,302
EK413,Emirates,Dubai,Direct,2024-01-11 21:07:00,T1-53,345
GA715,Garuda Indonesia,Bali,Direct,2024-01-12 07:32:00,T1-02,365
SQ211,Singapore Airlines,Singapore,Direct,2024-01-12 07:56:00,T1-55,345
5J32,Cebu Pacific,Manila,Direct,2024-01-12 08:04:00,T1-32,236
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-01-12 08:50:00,T1-46,155
MU502,China Eastern,Shanghai,Direct,2024-01-12 09:14:00,T1-16,376
PR211,Philippine Airlines,Manila,Direct,2024-01-12 09:29:00,T1-13,195
OZ602,Asiana Airlines,Seoul,Direct,2024-01-12 09:42:00,T1-35,281
JL771,Japan Airlines,Tokyo,Direct,2024-01-12 10:03:00,T1-18,159
CX101,Cathay Pacific,Hong Kong,Direct,2024-01-12 10:32:00,T1-26,233
KE601,Korean Air,Seoul,Direct,2024-01-12 11:33:00,T1-20,278
QF7,Qantas,Los Angeles,Direct,2024-01-12 11:59:00,T1-14,182
CX103,Cathay Pacific,Hong Kong,Direct,2024-01-12 15:48:00,T1-28,297
QF1,Qantas,Singapore,Direct,2024-01-12 16:31:00,T1-44,169
QR007,Qatar Airways,Doha,Direct,2024-01-12 20:44:00,T1-04,220
EK413,Emirates,Dubai,Direct,2024-01-12 21:09:00,T1-14,336
GA715,Garuda Indonesia,Bali,Direct,2024-01-13 07:31:00,T1-28,160
TR13,Scoot,Singapore,Direct,2024-01-13 07:42:00,T1-09,256
SQ211,Singapore Airlines,Singapore,Direct,2024-01-13 07:56:00,T1-55,222
TG476,Thai Airways,Bangkok,Direct,2024-01-13 09:00:00,T1-55,335
PR211,Philippine Airlines,Manila,Direct,2024-01-13 09:35:00,T1-16,392
OZ602,Asiana Airlines,Seoul,Direct,2024-01-13 09:41:00,T1-40,171
JL771,Japan Airlines,Tokyo,Direct,2024-01-13 09:56:00,T1-24,385
CA781,Air China,Beijing,Direct,2024-01-13 10:00:00,T1-35,242
CX101,Cathay Pacific,Hong Kong,Direct,2024-01-13 10:34:00,T1-05,324
NH880,ANA,Tokyo,Direct,2024-01-13 11:11:00,T1-09,285
KE601,Korean Air,Seoul,Direct,2024-01-13 11:32:00,T1-52,192
QF7,Qantas,Los Angeles,Direct,2024-01-13 11:55:00,T1-19,203
SQ213,Singapore Airlines,Singapore,Direct,2024-01-13 13:26:00,T1-03,347
QF1,Qantas,Singapore,Direct,2024-01-13 16:35:00,T1-02,229
UA839,United Airlines,Los Angeles,Direct,2024-01-13 21:03:00,T1-34,160
EK413,Emirates,Dubai,Direct,2024-01-13 21:12:00,T1-52,328
GA715,Garuda Indonesia,Bali,Direct,2024-01-14 07:34:00,T1-33,288
SQ211,Singapore Airlines,Singapore,Direct,2024-01-14 07:59:00,T1-29,333
5J32,Cebu Pacific,Manila,Direct,2024-01-14 08:02:00,T1-40,296
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-01-14 08:47:00,T1-14,377
TG476,Thai Airways,Bangkok,Direct,2024-01-14 09:00:00,T1-44,165
MU502,China Eastern,Shanghai,Direct,2024-01-14 09:20:00,T1-17,352
PR211,Philippine Airlines,Manila,Direct,2024-01-14 09:35:00,T1-20,188
JL771,Japan Airlines,Tokyo,Direct,2024-01-14 09:57:00,T1-13,211
CX101,Cathay Pacific,Hong Kong,Direct,2024-01-14 10:35:00,T1-45,397
NH880,ANA,Tokyo,Direct,2024-01-14 11:16:00,T1-20,385
KE601,Korean Air,Seoul,Direct,2024-01-14 11:30:00,T1-36,228
QF7,Qantas,Los Angeles,Direct,2024-01-14 11:56:00,T1-28,378
SQ213,Singapore Airlines,Singapore,Direct,2024-01-14 13:26:00,T1-20,389
CX103,Cathay Pacific,Hong Kong,Direct,2024-01-14 15:49:00,T1-29,278
QF1,Qantas,Singapore,Direct,2024-01-14 16:34:00,T1-47,378
QR007,Qatar Airways,Doha,Direct,2024-01-14 20:41:00,T1-41,257
UA839,United Airlines,Los Angeles,Direct,2024-01-14 21:01:00,T1-50,200
EK413,Emirates,Dubai,Direct,2024-01-14 21:12:00,T1-22,353
GA715,Garuda Indonesia,Bali,Direct,2024-01-15 07:29:00,T1-34,204
SQ211,Singapore Airlines,Singapore,Direct,2024-01-15 08:02:00,T1-14,318
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-01-15 08:46:00,T1-46,250
TG476,Thai Airways,Bangkok,Direct,2024-01-15 09:03:00,T1-40,249
MU502,China Eastern,Shanghai,Direct,2024-01-15 09:14:00,T1-10,324
PR211,Philippine Airlines,Manila,Direct,2024-01-15 09:33:00,T1-38,260
OZ602,Asiana Airlines,Seoul,Direct,2024-01-15 09:45:00,T1-46,344
JL771,Japan Airlines,Tokyo,Direct,2024-01-15 09:55:00,T1-26,393
CX101,Cathay Pacific,Hong Kong,Direct,2024-01-15 10:31:00,T1-37,284
KE601,Korean Air,Seoul,Direct,2024-01-15 11:30:00,T1-16,190
QF7,Qantas,Los Angeles,Direct,2024-01-15 11:56:00,T1-42,277
SQ213,Singapore Airlines,Singapore,Direct,2024-01-15 13:33:00,T1-05,294
CX103,Cathay Pacific,Hong Kong,Direct,2024-01-15 15:43:00,T1-07,341
QF1,Qantas,Singapore,Direct,2024-01-15 16:35:00,T1-54,211
QR007,Qatar Airways,Doha,Direct,2024-01-15 20:40:00,T1-49,363
EK413,Emirates,Dubai,Direct,2024-01-15 21:10:00,T1-12,369
GA715,Garuda Indonesia,Bali,Direct,2024-01-16 07:28:00,T1-36,190
TR13,Scoot,Singapore,Direct,2024-01-16 07:50:00,T1-09,391
SQ211,Singapore Airlines,Singapore,Direct,2024-01-16 07:56:00,T1-22,297
5J32,Cebu Pacific,Manila,Direct,2024-01-16 08:04:00,T1-55,287
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-01-16 08:45:00,T1-54,382
MU502,China Eastern,Shanghai,Direct,2024-01-16 09:14:00,T1-32,319
JL771,Japan Airlines,Tokyo,Direct,2024-01-16 09:59:00,T1-42,201
CA781,Air China,Beijing,Direct,2024-01-16 10:05:00,T1-22,332
CX101,Cathay Pacific,Hong Kong,Direct,2024-01-16 10:33:00,T1-36,257
NH880,ANA,Tokyo,Direct,2024-01-16 11:14:00,T1-15,268
KE601,Korean Air,Seoul,Direct,2024-01-16 11:32:00,T1-25,357
QF7,Qantas,Los Angeles,Direct,2024-01-16 11:59:00,T1-42,206
QF1,Qantas,Singapore,Direct,2024-01-16 16:29:00,T1-55,152
UA839,United Airlines,Los Angeles,Direct,2024-01-16 20:56:00,T1-20,259
EK413,Emirates,Dubai,Direct,2024-01-16 21:14:00,T1-11,370
GA715,Garuda Indonesia,Bali,Direct,2024-01-17 07:25:00,T1-28,307
SQ211,Singapore Airlines,Singapore,Direct,2024-01-17 08:00:00,T1-13,345
TG476,Thai Airways,Bangkok,Direct,2024-01-17 09:00:00,T1-47,232
PR211,Philippine Airlines,Manila,Direct,2024-01-17 09:32:00,T1-31,293
OZ602,Asiana Airlines,Seoul,Direct,2024-01-17 09:49:00,T1-04,202
JL771,Japan Airlines,Tokyo,Direct,2024-01-17 09:55:00,T1-45,165
CX101,Cathay Pacific,Hong Kong,Direct,2024-01-17 10:35:00,T1-12,330
KE601,Korean Air,Seoul,Direct,2024-01-17 11:34:00,T1-55,381
QF7,Qantas,Los Angeles,Direct,2024-01-17 11:59:00,T1-30,282
SQ213,Singapore Airlines,Singapore,Direct,2024-01-17 13:33:00,T1-06,333
CX103,Cathay Pacific,Hong Kong,Direct,2024-01-17 15:43:00,T1-06,252
QF1,Qantas,Singapore,Direct,2024-01-17 16:35:00,T1-35,167
QR007,Qatar Airways,Doha,Direct,2024-01-17 20:49:00,T1-29,206
EK413,Emirates,Dubai,Direct,2024-01-17 21:10:00,T1-40,219
GA715,Garuda Indonesia,Bali,Direct,2024-01-18 07:33:00,T1-16,159
TR13,Scoot,Singapore,Direct,2024-01-18 07:43:00,T1-31,253
SQ211,Singapore Airlines,Singapore,Direct,2024-01-18 07:56:00,T1-48,296
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-01-18 08:46:00,T1-48,173
TG476,Thai Airways,Bangkok,Direct,2024-01-18 08:57:00,T1-27,326
MU502,China Eastern,Shanghai,Direct,2024-01-18 09:14:00,T1-51,226
CA781,Air China,Beijing,Direct,2024-01-18 09:58:00,T1-38,381
JL771,Japan Airlines,Tokyo,Direct,2024-01-18 10:01:00,T1-17,283
CX101,Cathay Pacific,Hong Kong,Direct,2024-01-18 10:32:00,T1-49,373
NH880,ANA,Tokyo,Direct,2024-01-18 11:19:00,T1-01,328
KE601,Korean Air,Seoul,Direct,2024-01-18 11:29:00,T1-47,315
QF7,Qantas,Los Angeles,Direct,2024-01-18 11:53:00,T1-37,269
SQ213,Singapore Airlines,Singapore,Direct,2024-01-18 13:33:00,T1-07,259
QF1,Qantas,Singapore,Direct,2024-01-18 16:26:00,T1-15,328
UA839,United Airlines,Los Angeles,Direct,2024-01-18 21:02:00,T1-11,354
EK413,Emirates,Dubai,Direct,2024-01-18 21:08:00,T1-46,311
GA715,Garuda Indonesia,Bali,Direct,2024-01-19 07:25:00,T1-42,162
SQ211,Singapore Airlines,Singapore,Direct,2024-01-19 08:00:00,T1-23,223
5J32,Cebu Pacific,Manila,Direct,2024-01-19 08:05:00,T1-51,157
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-01-19 08:42:00,T1-37,301
MU502,China Eastern,Shanghai,Direct,2024-01-19 09:17:00,T1-31,243
PR211,Philippine Airlines,Manila,Direct,2024-01-19 09:34:00,T1-46,153
OZ602,Asiana Airlines,Seoul,Direct,2024-01-19 09:50:00,T1-13,335
JL771,Japan Airlines,Tokyo,Direct,2024-01-19 10:01:00,T1-28,163
CX101,Cathay Pacific,Hong Kong,Direct,2024-01-19 10:35:00,T1-04,319
KE601,Korean Air,Seoul,Direct,2024-01-19 11:30:00,T1-07,353
QF7,Qantas,Los Angeles,Direct,2024-01-19 12:00:00,T1-02,359
CX103,Cathay Pacific,Hong Kong,Direct,2024-01-19 15:42:00,T1-34,293
QF1,Qantas,Singapore,Direct,2024-01-19 16:34:00,T1-07,171
QR007,Qatar Airways,Doha,Direct,2024-01-19 20:46:00,T1-41,183
EK413,Emirates,Dubai,Direct,2024-01-19 21:08:00,T1-43,196
GA715,Garuda Indonesia,Bali,Direct,2024-01-20 07:28:00,T1-18,227
TR13,Scoot,Singapore,Direct,2024-01-20 07:44:00,T1-23,254
SQ211,Singapore Airlines,Singapore,Direct,2024-01-20 08:04:00,T1-52,248
TG476,Thai Airways,Bangkok,Direct,2024-01-20 09:04:00,T1-17,197
PR211,Philippine Airlines,Manila,Direct,2024-01-20 09:28:00,T1-34,350
OZ602,Asiana Airlines,Seoul,Direct,2024-01-20 09:45:00,T1-18,273
JL771,Japan Airlines,Tokyo,Direct,2024-01-20 09:58:00,T1-20,150
CA781,Air China,Beijing,Direct,2024-01-20 10:03:00,T1-41,157
CX101,Cathay Pacific,Hong Kong,Direct,2024-01-20 10:26:00,T1-51,348
NH880,ANA,Tokyo,Direct,2024-01-20 11:10:00,T1-22,286
KE601,Korean Air,Seoul,Direct,2024-01-20 11:34:00,T1-27,345
QF7,Qantas,Los Angeles,Direct,2024-01-20 11:55:00,T1-30,336
SQ213,Singapore Airlines,Singapore,Direct,2024-01-20 13:30:00,T1-11,321
QF1,Qantas,Singapore,Direct,2024-01-20 16:33:00,T1-44,171
UA839,United Airlines,Los Angeles,Direct,2024-01-20 21:05:00,T1-04,340
EK413,Emirates,Dubai,Direct,2024-01-20 21:11:00,T1-48,176
GA715,Garuda Indonesia,Bali,Direct,2024-01-21 07:28:00,T1-14,270
5J32,Cebu Pacific,Manila,Direct,2024-01-21 08:04:00,T1-29,345
SQ211,Singapore Airlines,Singapore,Direct,2024-01-21 08:05:00,T1-55,282
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-01-21 08:50:00,T1-24,327
TG476,Thai Airways,Bangkok,Direct,2024-01-21 09:01:00,T1-19,300
MU502,China Eastern,Shanghai,Direct,2024-01-21 09:15:00,T1-35,264
PR211,Philippine Airlines,Manila,Direct,2024-01-21 09:33:00,T1-28,363
JL771,Japan Airlines,Tokyo,Direct,2024-01-21 10:01:00,T1-21,229
CX101,Cathay Pacific,Hong Kong,Direct,2024-01-21 10:33:00,T1-21,205
NH880,ANA,Tokyo,Direct,2024-01-21 11:18:00,T1-29,184
KE601,Korean Air,Seoul,Direct,2024-01-21 11:35:00,T1-04,317
QF7,Qantas,Los Angeles,Direct,2024-01-21 11:53:00,T1-29,280
SQ213,Singapore Airlines,Singapore,Direct,2024-01-21 13:28:00,T1-52,185
CX103,Cathay Pacific,Hong Kong,Direct,2024-01-21 15:41:00,T1-28,160
QF1,Qantas,Singapore,Direct,2024-01-21 16:34:00,T1-46,257
QR007,Qatar Airways,Doha,Direct,2024-01-21 20:40:00,T1-43,155
UA839,United Airlines,Los Angeles,Direct,2024-01-21 20:57:00,T1-50,290
EK413,Emirates,Dubai,Direct,2024-01-21 21:07:00,T1-51,366
GA715,Garuda Indonesia,Bali,Direct,2024-01-22 07:33:00,T1-54,255
SQ211,Singapore Airlines,Singapore,Direct,2024-01-22 08:02:00,T1-29,168
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-01-22 08:47:00,T1-19,175
TG476,Thai Airways,Bangkok,Direct,2024-01-22 08:56:00,T1-19,198
MU502,China Eastern,Shanghai,Direct,2024-01-22 09:20:00,T1-18,152
PR211,Philippine Airlines,Manila,Direct,2024-01-22 09:25:00,T1-31,339
OZ602,Asiana Airlines,Seoul,Direct,2024-01-22 09:42:00,T1-19,165
JL771,Japan Airlines,Tokyo,Direct,2024-01-22 09:57:00,T1-06,304
